trade_id,timestamp_utc,event,market,side,strike,price,outcome_price,size,model_probability,ev_per_contract,ev_dollars,edge_pct,realized_pnl,spot_price,last_candle_close,spot_candle_gap_pct,annual_vol,horizon_hours,settlement_time_utc,settlement_mode,notes
T1769186240,2026-01-23T16:37:20.774470+00:00,OPEN,btc-hourly-12pm,NO,90000.0,0.5574418604651162,,86,0.748743,0.1913,16.45,0.3432,,89847.24,89864.02,0.0187,0.3776,0.395,2026-01-23T17:00:00+00:00,hourly,
T1769186021,2026-01-23T18:56:29.795407+00:00,CLOSE,btc-hourly-12pm,NO,89500.0,0.577353,0.000000,34,0.7085,0.1311,4.46,0.2272,-19.63,89368.21,89600.0,0.2587,0.3763,0.446,2026-01-23T17:00:00+00:00,hourly,close_type=LOSS | PnL: -19.63
T1769186240,2026-01-23T18:56:41.452902+00:00,CLOSE,btc-hourly-12pm,NO,90000.0,0.557442,0.000000,86,0.748743,0.1913,16.45,0.3432,-47.94,89847.24,89864.02,0.0187,0.3776,0.395,2026-01-23T17:00:00+00:00,hourly,close_type=LOSS | PnL: -47.94
T1769197081,2026-01-23T19:38:01.056457+00:00,OPEN,btc-hourly-3pm,NO,90000.0,0.8113636363636364,,44,0.897546,0.0862,3.79,0.1062,,89695.82,89713.73,0.02,0.4063,0.379,2026-01-23T20:00:00+00:00,hourly,
T1769203169,2026-01-23T21:19:29.171702+00:00,OPEN,btc-hourly-5pm,YES,89500.0,0.4774509803921569,,102,0.474857,-0.0026,-0.26,-0.0054,,89479.79,89369.49,0.1234,0.4048,0.686,2026-01-23T22:00:00+00:00,hourly,
T1769204474,2026-01-23T21:41:14.308302+00:00,OPEN,btc-hourly-5pm,YES,89500.0,0.28385714285714286,,70,0.337388,0.0535,3.75,0.1886,,89408.01,89480.02,0.0805,0.4051,0.321,2026-01-23T22:00:00+00:00,hourly,
T1769209518,2026-01-23T23:05:18.687013+00:00,OPEN,btc-hourly-7pm,YES,89750.0,0.09573825503355705,,298,0.231853,0.1361,40.56,1.4217,,89476.65,89466.04,0.0119,0.404,0.93,2026-01-24T00:00:00+00:00,hourly,
T1769231808,2026-01-24T05:16:48.862660+00:00,OPEN,btc-hourly-1am,YES,89750.0,0.24,,39,0.443973,0.204,7.95,0.8499,,89704.21,89705.0,0.0009,0.3968,0.73,2026-01-24T06:00:00+00:00,hourly,
T1769231840,2026-01-24T05:17:20.759915+00:00,OPEN,btc-hourly-1am,YES,90000.0,0.05,,90,0.176591,0.1266,11.39,2.5318,,89700.35,89705.0,0.0052,0.3968,0.718,2026-01-24T06:00:00+00:00,hourly,
T1769197081,2026-01-24T05:18:14.597434+00:00,CLOSE,btc-hourly-3pm,NO,90000.0,0.811364,1.000000,44,0.897546,0.0862,3.79,0.1062,8.30,89695.82,89713.73,0.02,0.4063,0.379,2026-01-23T20:00:00+00:00,hourly,close_type=WIN | PnL: +8.30
T1769203169,2026-01-24T05:18:57.764045+00:00,CLOSE,btc-hourly-5pm,YES,89500.0,0.477451,0.000000,102,0.474857,-0.0026,-0.26,-0.0054,-48.70,89479.79,89369.49,0.1234,0.4048,0.686,2026-01-23T22:00:00+00:00,hourly,close_type=LOSS | PnL: -48.70
T1769204474,2026-01-24T05:19:05.679002+00:00,CLOSE,btc-hourly-5pm,YES,89500.0,0.283857,0.000000,70,0.337388,0.0535,3.75,0.1886,-19.87,89408.01,89480.02,0.0805,0.4051,0.321,2026-01-23T22:00:00+00:00,hourly,close_type=LOSS | PnL: -19.87
T1769209518,2026-01-24T05:19:35.910746+00:00,CLOSE,btc-hourly-7pm,YES,89750.0,0.095738,0.000000,298,0.231853,0.1361,40.56,1.4217,-28.53,89476.65,89466.04,0.0119,0.404,0.93,2026-01-24T00:00:00+00:00,hourly,close_type=LOSS | PnL: -28.53
T1769231808,2026-01-24T06:00:35.925118+00:00,CLOSE,btc-hourly-1am,YES,89750.0,0.240000,0.000000,39,0.443973,0.204,7.95,0.8499,-9.36,89704.21,89705.0,0.0009,0.3968,0.73,2026-01-24T06:00:00+00:00,hourly,close_type=LOSS | PnL: -9.36
T1769231840,2026-01-24T06:00:44.034385+00:00,CLOSE,btc-hourly-1am,YES,90000.0,0.050000,0.000000,90,0.176591,0.1266,11.39,2.5318,-4.50,89700.35,89705.0,0.0052,0.3968,0.718,2026-01-24T06:00:00+00:00,hourly,close_type=LOSS | PnL: -4.50
